Vg (V),Id (A),G (S),cycle,idx_in_cycle
-0.6199999999999999,-0.000121645,0.00019620161290322585,1,151
-0.6399999999999999,-0.000121816,0.00019033750000000004,1,152
-0.6599999999999999,-0.000121978,0.00018481515151515154,1,153
-0.6799999999999999,-0.000122008,0.00017942352941176473,1,154
-0.7,-0.000122048,0.00017435428571428572,1,155
-0.72,-0.000122082,0.00016955833333333334,1,156
-0.74,-0.000122091,0.00016498783783783786,1,157
-0.76,-0.000122035,0.00016057236842105264,1,158
-0.78,-0.000121922,0.00015631025641025642,1,159
-0.8,-0.000121768,0.00015221,1,160
-0.8,-0.000121206,0.0001515075,2,0
-0.78,-0.000120373,0.00015432435897435895,2,1
-0.76,-0.000119686,0.00015748157894736843,2,2
-0.74,-0.000119117,0.00016096891891891892,2,3
-0.72,-0.000118569,0.00016467916666666667,2,4
-0.7,-0.000118105,0.00016872142857142858,2,5
-0.6799999999999999,-0.000117645,0.00017300735294117648,2,6
-0.6599999999999999,-0.000117267,0.00017767727272727276,2,7
-0.6399999999999999,-0.000116841,0.00018256406250000002,2,8
-0.6199999999999999,-0.000116454,0.00018782903225806455,2,9
-0.5999999999999999,-0.000116077,0.0001934616666666667,2,10
-0.5799999999999998,-0.000115691,0.00019946724137931039,2,11
-0.5599999999999998,-0.000115296,0.00020588571428571434,2,12
-0.5399999999999998,-0.000114909,0.0002127944444444445,2,13
-0.5199999999999998,-0.000114521,0.00022023269230769238,2,14
-0.4999999999999998,-0.0001141,0.0002282000000000001,2,15
-0.47999999999999976,-0.000113712,0.00023690000000000012,2,16
-0.45999999999999974,-0.000113272,0.0002462434782608697,2,17
-0.4399999999999997,-0.000112888,0.0002565636363636365,2,18
-0.4199999999999997,-0.000112442,0.00026771904761904784,2,19
-0.3999999999999997,-0.000111966,0.0002799150000000002,2,20
-0.37999999999999967,-0.000111476,0.00029335789473684235,2,21
-0.35999999999999965,-0.000111013,0.00030836944444444475,2,22
-0.33999999999999964,-0.000110439,0.0003248205882352945,2,23
-0.3199999999999996,-0.000109919,0.0003434968750000004,2,24
-0.2999999999999996,-0.000109302,0.0003643400000000005,2,25
-0.2799999999999996,-0.00010873,0.0003883214285714291,2,26
-0.25999999999999956,-0.000108103,0.00041578076923076994,2,27
-0.23999999999999955,-0.000107421,0.00044758750000000087,2,28
-0.21999999999999953,-0.0001067,0.00048500000000000106,2,29
-0.1999999999999995,-0.000106,0.0005300000000000013,2,30
-0.1799999999999995,-0.000105233,0.0005846277777777795,2,31
-0.15999999999999948,-0.000104388,0.0006524250000000022,2,32
-0.13999999999999946,-0.000103543,0.00073959285714286,2,33
-0.11999999999999944,-0.000102631,0.0008552583333333373,2,34
-0.09999999999999942,-0.000101704,0.001017040000000006,2,35
-0.0799999999999994,-0.000100696,0.0012587000000000093,2,36
-0.05999999999999939,-9.95981e-05,0.0016599683333333502,2,37
-0.03999999999999937,-9.84347e-05,0.0024608675000000386,2,38
-0.01999999999999935,-9.7206e-05,0.0048603000000001575,2,39
6.661338147750939e-16,-9.58988e-05,0.0,2,40
0.020000000000000684,-9.44919e-05,-0.0047245949999998385,2,41
0.0400000000000007,-9.30049e-05,-0.002325122499999959,2,42
0.06000000000000072,-9.13942e-05,-0.0015232366666666484,2,43
0.08000000000000074,-8.97337e-05,-0.0011216712499999895,2,44
0.10000000000000075,-8.78961e-05,-0.0008789609999999933,2,45
0.12000000000000077,-8.59995e-05,-0.0007166624999999954,2,46
0.1400000000000008,-8.39866e-05,-0.0005999042857142824,2,47
0.1600000000000008,-8.18489e-05,-0.0005115556249999974,2,48
0.18000000000000083,-7.9606e-05,-0.0004422555555555535,2,49
0.20000000000000084,-7.72345e-05,-0.00038617249999999833,2,50
0.22000000000000086,-7.47593e-05,-0.0003398149999999987,2,51
0.24000000000000088,-7.21888e-05,-0.00030078666666666555,2,52
0.2600000000000009,-6.94838e-05,-0.0002672453846153837,2,53
0.2800000000000009,-6.66959e-05,-0.0002381996428571421,2,54
0.30000000000000093,-6.38155e-05,-0.0002127183333333327,2,55
0.32000000000000095,-6.08812e-05,-0.00019025374999999945,2,56
0.34000000000000097,-5.78725e-05,-0.00017021323529411715,2,57
0.360000000000001,-5.48146e-05,-0.00015226277777777736,2,58
0.380000000000001,-5.17392e-05,-0.00013615578947368385,2,59
0.400000000000001,-4.86555e-05,-0.00012163874999999969,2,60
0.42000000000000104,-4.55812e-05,-0.00010852666666666641,2,61
